job_title,employment_type,experience_level,expertise_level,salary,salary_currency,company_location,salary_in_usd,employee_residence,company_size,year,standardized_salary
Data Engineer,Full-Time,Senior,Expert,210000,United States Dollar,United States,210000,United States,Medium,2023,0.2257990288681312
Data Engineer,Full-Time,Senior,Expert,165000,United States Dollar,United States,165000,United States,Medium,2023,0.0260171577722527
Data Engineer,Full-Time,Senior,Expert,185900,United States Dollar,United States,185900,United States,Medium,2023,0.1188047379034496
Data Engineer,Full-Time,Senior,Expert,129300,United States Dollar,United States,129300,United States,Medium,2023,-0.1324764599638109
Data Scientist,Full-Time,Senior,Expert,140000,United States Dollar,United States,140000,United States,Medium,2023,-0.092910128183535
Data Scientist,Full-Time,Senior,Expert,126000,United States Dollar,United States,126000,United States,Medium,2023,-0.1035544405610548
Data Scientist,Full-Time,Senior,Expert,170000,United States Dollar,United States,170000,United States,Medium,2023,-0.070100887374564
Data Scientist,Full-Time,Senior,Expert,130000,United States Dollar,United States,130000,United States,Medium,2023,-0.100513208453192
Data Engineer,Full-Time,Mid,Intermediate,85000,British Pound Sterling,United Kingdom,104584,United Kingdom,Medium,2023,-0.3291506130648647
Data Engineer,Full-Time,Mid,Intermediate,75000,British Pound Sterling,United Kingdom,92280,United Kingdom,Medium,2023,-0.3735465844195044
Analytics Engineer,Full-Time,Senior,Expert,208500,United States Dollar,United States,208500,United States,Medium,2023,0.9938325816308607
Analytics Engineer,Full-Time,Senior,Expert,165000,United States Dollar,United States,165000,United States,Medium,2023,0.221086079454871
Data Engineer,Full-Time,Senior,Expert,72000,Euro,Germany,77737,Germany,Large,2023,-0.3868653758258963
Data Engineer,Full-Time,Senior,Expert,80000,Euro,Sweden,86374,Germany,Large,2023,-0.3513485987421845
Business Intelligence Developer,Full-Time,Senior,Expert,169000,United States Dollar,United States,169000,United States,Medium,2023,1.2406476103863544
Business Intelligence Developer,Full-Time,Senior,Expert,110600,United States Dollar,United States,110600,United States,Medium,2023,-0.0242768754778444
Data Scientist,Full-Time,Senior,Expert,185900,United States Dollar,United States,185900,United States,Medium,2023,-0.0580119897458093
Data Scientist,Full-Time,Senior,Expert,129300,United States Dollar,United States,129300,United States,Medium,2023,-0.101045424072068
Data Scientist,Full-Time,Senior,Expert,225000,United States Dollar,United States,225000,United States,Medium,2023,-0.0282839458914504
Data Scientist,Full-Time,Senior,Expert,156400,United States Dollar,United States,156400,United States,Medium,2023,-0.0804410765412975
Machine Learning Engineer,Full-Time,Senior,Expert,309000,United States Dollar,United States,309000,United States,Medium,2023,0.3821577961001906
Machine Learning Engineer,Full-Time,Senior,Expert,142000,United States Dollar,United States,142000,United States,Medium,2023,-0.1704752680172656
Data Analyst,Full-Time,Senior,Expert,204500,United States Dollar,United States,204500,United States,Medium,2023,0.9148560214218252
Data Analyst,Full-Time,Senior,Expert,138900,United States Dollar,United States,138900,United States,Medium,2023,0.2396478606841345
Machine Learning Engineer,Full-Time,Senior,Expert,323300,United States Dollar,United States,323300,United States,Medium,2023,0.4294790704527632
Machine Learning Engineer,Full-Time,Senior,Expert,184700,United States Dollar,United States,184700,United States,Medium,2023,-0.0291732809644789
Machine Learning Engineer,Full-Time,Senior,Expert,247500,United States Dollar,United States,247500,United States,Medium,2023,0.1786432245838818
Machine Learning Engineer,Full-Time,Senior,Expert,172200,United States Dollar,United States,172200,United States,Medium,2023,-0.0705380312726717
Decision Scientist,Full-Time,Senior,Expert,204500,United States Dollar,United States,204500,United States,Medium,2023,1.6342499603975544
Decision Scientist,Full-Time,Senior,Expert,142200,United States Dollar,United States,142200,United States,Medium,2023,-0.6055250481799858
Machine Learning Software Engineer,Full-Time,Mid,Intermediate,2000000,Indian Rupee,India,24322,India,Large,2023,3.2970049703281745
BI Developer,Full-Time,Senior,Expert,135000,United States Dollar,United States,135000,United States,Medium,2023,0.3542813117782009
BI Developer,Full-Time,Senior,Expert,110000,United States Dollar,United States,110000,United States,Medium,2023,-0.3284878115630859
Machine Learning Scientist,Full-Time,Senior,Expert,180514,United States Dollar,United Kingdom,180514,United Kingdom,Medium,2023,0.1179088214364306
Machine Learning Scientist,Full-Time,Senior,Expert,108308,United States Dollar,United Kingdom,108308,United Kingdom,Medium,2023,-1.1399455411781854
